time,movement,predicted
2022-08-22,up,up
2022-08-23,up,up
2022-08-24,up,up
2022-08-25,down,down
2022-08-26,down,down
2022-08-29,down,down
2022-08-30,down,down
2022-08-31,down,down
2022-09-01,down,down
2022-09-02,down,down
2022-09-06,up,up
2022-09-07,up,up
2022-09-08,up,up
2022-09-09,up,up
2022-09-12,down,down
2022-09-13,up,up
2022-09-14,down,down
2022-09-15,up,up
2022-09-16,up,up
2022-09-19,down,down
2022-09-20,up,up
2022-09-21,down,down
2022-09-22,down,down
2022-09-23,down,down
2022-09-26,up,up
2022-09-27,up,up
2022-09-28,down,down
2022-09-29,down,down
2022-09-30,up,up
2022-10-03,up,up
2022-10-04,up,up
2022-10-05,down,down
2022-10-06,down,down
2022-10-07,down,down
2022-10-10,down,down
2022-10-11,down,down
2022-10-12,up,up
2022-10-13,down,down
2022-10-14,up,up
2022-10-17,up,up
2022-10-18,up,up
2022-10-19,up,up
2022-10-20,up,up
2022-10-21,up,up
2022-10-24,up,up
2022-10-25,down,down
2022-10-26,up,up
2022-10-27,up,up
2022-10-28,down,down
2022-10-31,up,up
2022-11-01,down,down
2022-11-02,up,up
2022-11-03,up,up
2022-11-04,up,up
2022-11-07,up,up
2022-11-08,down,down
2022-11-09,up,up
2022-11-10,up,up
2022-11-11,down,down
2022-11-14,up,up
2022-11-15,down,down
2022-11-16,down,down
2022-11-17,down,down
2022-11-18,down,down
2022-11-21,up,up
2022-11-22,up,up
2022-11-23,down,down
2022-11-25,down,down
2022-11-28,down,down
2022-11-29,up,up
2022-11-30,up,up
2022-12-01,down,down
2022-12-02,down,down
2022-12-05,down,down
2022-12-06,up,up
2022-12-07,up,up
2022-12-08,down,down
2022-12-09,up,up
2022-12-12,up,up
2022-12-13,down,down
2022-12-14,down,down
2022-12-15,down,down
2022-12-16,down,down
2022-12-19,down,down
2022-12-20,up,up
2022-12-21,down,down
2022-12-22,down,down
2022-12-23,down,down
2022-12-27,down,down
2022-12-28,up,up
2022-12-29,up,up
2022-12-30,down,down
2023-01-03,up,up
2023-01-04,down,down
2023-01-05,up,up
2023-01-06,up,up
2023-01-09,up,up
2023-01-10,up,up
2023-01-11,up,up
2023-01-12,up,up
2023-01-13,up,up
2023-01-17,down,down
2023-01-18,down,down
2023-01-19,up,up
2023-01-20,up,up
2023-01-23,up,up
2023-01-24,up,up
2023-01-25,up,up
2023-01-26,up,up
2023-01-27,down,down
2023-01-30,up,up
2023-01-31,up,up
2023-02-01,up,up
2023-02-02,down,down
2023-02-03,down,down
2023-02-06,up,up
2023-02-07,up,up
2023-02-08,up,up
2023-02-09,down,down
2023-02-10,up,up
2023-02-13,up,up
2023-02-14,down,down
2023-02-15,down,down
2023-02-16,down,down
2023-02-17,down,down
2023-02-21,up,up
2023-02-22,up,up
2023-02-23,down,down
2023-02-24,up,up
2023-02-27,down,down
2023-02-28,down,down
2023-03-01,up,up
2023-03-02,up,up
2023-03-03,down,down
2023-03-06,down,down
2023-03-07,up,up
2023-03-08,down,down
2023-03-09,down,down
2023-03-13,up,up
2023-03-14,up,up
2023-03-15,up,up
2023-03-16,up,up
2023-03-17,up,up
2023-03-20,up,up
2023-03-21,up,up
2023-03-22,up,up
2023-03-23,down,down
2023-03-24,down,down
2023-03-27,down,down
2023-03-28,up,up
2023-03-29,up,up
2023-03-30,up,up
2023-03-31,up,up
2023-04-03,down,down
2023-04-04,down,down
2023-04-05,up,up
2023-04-06,up,up
2023-04-10,down,down
2023-04-11,down,down
2023-04-12,down,down
2023-04-13,up,up
2023-04-14,up,up
2023-04-17,up,up
2023-04-18,up,up
2023-04-19,down,down
2023-04-20,up,up
2023-04-21,down,down
2023-04-24,down,down
2023-04-25,up,up
2023-04-26,up,up
2023-04-27,up,up
2023-04-28,up,up
2023-05-01,down,down
2023-05-02,down,down
2023-05-03,down,down
2023-05-04,up,up
2023-05-05,up,up
2023-05-08,down,down
2023-05-09,up,up
2023-05-10,down,down
2023-05-11,down,down
2023-05-12,up,up
2023-05-15,up,up
2023-05-16,up,up
2023-05-17,up,up
2023-05-18,down,down
2023-05-19,down,down
2023-05-22,down,down
2023-05-23,down,down
2023-05-24,up,up
2023-05-25,up,up
2023-05-26,up,up
2023-05-30,down,down
2023-05-31,up,up
2023-06-01,down,down
2023-06-02,down,down
2023-06-05,down,down
2023-06-06,down,down
2023-06-07,up,up
2023-06-08,up,up
2023-06-09,up,up
2023-06-12,up,up
2023-06-13,up,up
2023-06-14,down,down
2023-06-15,up,up
2023-06-16,up,up
2023-06-20,down,down
2023-06-21,down,down
2023-06-22,down,down
2023-06-23,down,down
2023-06-26,up,up
2023-06-27,down,down
2023-06-28,down,down
2023-06-29,up,up
2023-06-30,up,up
2023-07-03,down,down
2023-07-05,down,down
2023-07-06,up,up
2023-07-07,down,down
2023-07-10,up,up
2023-07-11,up,up
2023-07-12,up,up
2023-07-13,down,down
2023-07-14,up,up
2023-07-17,up,up
2023-07-18,down,down
2023-07-19,down,down
2023-07-20,down,down
2023-07-21,up,up
2023-07-24,up,up
2023-07-25,down,down
2023-07-26,up,up
2023-07-27,up,up
2023-07-31,down,down
2023-08-01,down,down
2023-08-02,up,up
2023-08-03,up,up
2023-08-04,up,up
2023-08-07,down,down
2023-08-08,down,down
2023-08-09,down,down
2023-08-10,down,down
2023-08-11,up,up
2023-08-14,up,up
2023-08-15,down,down
2023-08-16,down,down
2023-08-17,down,down
2023-08-18,up,up
2023-08-21,down,down
2023-08-22,up,up
2023-08-23,up,up
2023-08-24,down,down
2023-08-25,up,up
2023-08-28,up,up
2023-08-29,up,up
2023-08-30,up,up
2023-08-31,down,down
2023-09-01,up,up
2023-09-05,down,down
2023-09-06,down,down
2023-09-07,down,down
2023-09-08,down,down
2023-09-11,down,down
2023-09-12,up,up
2023-09-13,up,up
2023-09-14,down,down
2023-09-15,up,up
2023-09-18,down,down
2023-09-19,down,down
2023-09-20,down,down
2023-09-21,up,up
2023-09-22,up,up
2023-09-25,down,down
2023-09-26,up,up
2023-09-27,up,up
2023-09-28,up,up
2023-09-29,up,up
2023-10-02,down,down
2023-10-03,up,up
2023-10-04,up,up
2023-10-05,up,up
2023-10-06,down,down
2023-10-09,up,up
2023-10-10,up,up
2023-10-11,up,up
2023-10-12,down,down
2023-10-13,up,up
2023-10-16,down,down
2023-10-17,down,down
2023-10-18,down,down
2023-10-19,down,down
2023-10-20,up,up
2023-10-23,up,up
2023-10-24,down,down
2023-10-25,down,down
2023-10-26,up,up
2023-10-27,up,up
2023-10-30,down,down
2023-10-31,up,up
2023-11-01,up,up
2023-11-02,up,up
2023-11-03,up,up
2023-11-06,up,up
2023-11-07,up,up
2023-11-08,up,up
2023-11-09,up,up
2023-11-10,up,up
2023-11-13,up,up
2023-11-14,down,down
2023-11-15,up,up
2023-11-16,down,down
2023-11-17,up,up
2023-11-20,down,down
2023-11-21,down,down
2023-11-22,down,down
2023-11-24,up,up
2023-11-27,down,down
2023-11-28,up,up
2023-11-29,down,down
2023-11-30,down,down
2023-12-01,down,down
2023-12-04,up,up
2023-12-05,down,down
2023-12-06,up,up
2023-12-07,up,up
2023-12-08,down,down
2023-12-11,up,up
2023-12-12,up,up
2023-12-13,up,up
2023-12-14,up,up
2023-12-15,up,up
2023-12-18,down,down
2023-12-19,down,down
2023-12-20,up,up
2023-12-21,down,down
2023-12-22,up,up
2023-12-26,up,up
2023-12-27,up,up
2023-12-28,down,down
2023-12-29,down,down
2024-01-02,down,down
2024-01-03,up,up
2024-01-04,up,up
2024-01-05,up,up
2024-01-08,up,up
2024-01-09,up,up
2024-01-10,up,up
2024-01-11,up,up
2024-01-12,up,up
2024-01-16,down,down
2024-01-17,up,up
2024-01-18,up,up
2024-01-19,up,up
2024-01-22,up,up
2024-01-23,up,up
2024-01-24,up,up
2024-01-25,down,up
2024-01-26,up,up
2024-01-29,up,up
2024-01-30,down,up
2024-01-31,up,up
2024-02-01,up,up
2024-02-02,up,up
2024-02-05,down,up
2024-02-06,up,up
2024-02-07,down,up
2024-02-08,up,up
2024-02-09,up,up
2024-02-12,down,up
2024-02-13,up,up
2024-02-14,down,up
2024-02-15,down,up
2024-02-16,down,up
2024-02-20,down,up
2024-02-21,up,up
2024-02-22,up,up
2024-02-23,up,up
2024-02-26,down,up
2024-02-27,down,up
2024-02-28,up,up
2024-02-29,up,up
2024-03-01,up,up
2024-03-04,up,up
2024-03-05,up,up
2024-03-06,up,up
2024-03-07,down,up
2024-03-08,down,up
2024-03-11,up,up
2024-03-12,down,up
2024-03-13,down,up
2024-03-14,down,up
2024-03-15,up,up
2024-03-18,up,up
2024-03-19,up,up
2024-03-20,up,up
2024-03-21,up,up
2024-03-22,up,up
2024-03-25,down,up
2024-03-26,down,up
2024-03-28,down,up
2024-04-01,down,up
2024-04-02,down,up
2024-04-03,down,up
2024-04-04,up,up
2024-04-05,down,up
2024-04-08,down,up
2024-04-09,up,up
2024-04-10,up,up
2024-04-11,down,up
2024-04-12,down,up
2024-04-15,up,up
2024-04-16,down,up
2024-04-17,up,up
2024-04-18,down,up
2024-04-19,up,up
2024-04-22,up,up
2024-04-23,down,up
2024-04-24,up,up
2024-04-25,up,up
2024-04-26,up,up
2024-04-29,down,up
2024-04-30,down,up
2024-05-01,up,up
2024-05-02,up,up
2024-05-03,up,up
2024-05-06,down,up
2024-05-07,down,up
2024-05-08,down,up
2024-05-09,up,up
2024-05-10,up,up
2024-05-13,up,up
2024-05-14,up,up
2024-05-15,down,up
2024-05-16,down,up
2024-05-17,up,up
2024-05-20,up,up
2024-05-21,down,up
2024-05-22,up,up
2024-05-23,up,up
2024-05-24,up,up
2024-05-28,up,up
2024-05-29,down,up
2024-05-30,down,up
2024-05-31,up,up
2024-06-03,up,up
2024-06-04,up,up
2024-06-05,down,up
2024-06-06,up,up
2024-06-07,up,up
2024-06-10,down,up
2024-06-11,up,up
2024-06-12,up,up
2024-06-13,up,up
2024-06-14,down,up
2024-06-17,up,up
2024-06-18,down,up
2024-06-20,down,up
2024-06-21,down,up
2024-06-24,up,up
2024-06-25,up,up
2024-06-26,down,up
2024-06-27,down,up
2024-06-28,up,up
2024-07-01,down,up
2024-07-02,up,up
2024-07-03,down,up
2024-07-05,up,up
2024-07-08,up,up
2024-07-09,up,up
2024-07-10,down,up
2024-07-11,up,up
2024-07-12,down,up
2024-07-15,down,up
2024-07-16,down,up
