time,movement,predicted
2023-01-30,up,down
2023-01-31,up,down
2023-02-01,down,down
2023-02-02,down,down
2023-02-03,down,down
2023-02-06,up,down
2023-02-07,down,down
2023-02-08,up,down
2023-02-09,up,down
2023-02-10,up,down
2023-02-13,down,down
2023-02-14,up,down
2023-02-15,down,down
2023-02-16,up,up
2023-02-17,up,up
2023-02-21,down,down
2023-02-22,down,down
2023-02-23,up,up
2023-02-24,down,up
2023-02-27,up,down
2023-02-28,down,down
2023-03-01,up,down
2023-03-02,up,up
2023-03-03,down,up
2023-03-06,down,down
2023-03-07,down,down
2023-03-08,down,down
2023-03-09,down,up
2023-03-10,up,up
2023-03-13,up,down
2023-03-14,up,down
2023-03-15,down,down
2023-03-16,up,down
2023-03-17,up,up
2023-03-20,down,down
2023-03-21,down,up
2023-03-22,up,up
2023-03-23,up,up
2023-03-24,up,up
2023-03-27,down,up
2023-03-28,up,up
2023-03-29,up,up
2023-03-30,up,up
2023-03-31,up,up
2023-04-03,down,down
2023-04-04,up,down
2023-04-05,up,down
2023-04-06,down,down
2023-04-10,down,down
2023-04-11,down,down
2023-04-12,up,down
2023-04-13,down,up
2023-04-14,up,up
2023-04-17,up,down
2023-04-18,up,down
2023-04-19,up,down
2023-04-20,up,down
2023-04-21,up,down
2023-04-24,down,down
2023-04-25,down,down
2023-04-26,up,up
2023-04-27,down,up
2023-04-28,up,up
2023-05-01,down,down
2023-05-02,down,down
2023-05-03,down,down
2023-05-04,up,down
2023-05-05,up,up
2023-05-08,up,down
2023-05-09,down,down
2023-05-10,up,down
2023-05-11,down,up
2023-05-12,down,up
2023-05-15,down,down
2023-05-16,down,up
2023-05-17,up,up
2023-05-18,down,down
2023-05-19,down,up
2023-05-22,down,up
2023-05-23,down,up
2023-05-24,down,up
2023-05-25,up,up
2023-05-26,down,up
2023-05-30,up,up
2023-05-31,up,up
2023-06-01,up,up
2023-06-02,up,up
2023-06-06,up,down
2023-06-07,up,down
2023-06-08,up,down
2023-06-09,up,down
2023-06-12,up,down
2023-06-13,up,down
2023-06-14,up,down
2023-06-15,down,down
2023-06-16,down,up
2023-06-20,up,up
2023-06-21,up,up
2023-06-22,down,up
2023-06-23,down,up
2023-06-26,down,down
2023-06-27,up,down
2023-06-28,down,up
2023-06-29,up,up
2023-06-30,up,up
2023-07-03,down,down
2023-07-05,down,down
2023-07-06,down,up
2023-07-07,up,up
2023-07-10,down,up
2023-07-11,up,up
2023-07-12,down,down
2023-07-13,up,up
2023-07-14,up,up
2023-07-17,down,down
2023-07-18,up,down
2023-07-19,up,down
2023-07-20,up,down
2023-07-21,up,down
2023-07-24,down,down
2023-07-25,up,down
2023-07-26,down,up
2023-07-27,up,up
2023-07-31,down,down
2023-08-01,up,up
2023-08-02,up,up
2023-08-03,down,up
2023-08-04,up,up
2023-08-07,up,up
2023-08-08,up,down
2023-08-09,down,up
2023-08-10,up,up
2023-08-11,down,up
2023-08-14,down,down
2023-08-15,up,up
2023-08-16,down,up
2023-08-17,up,up
2023-08-18,down,up
2023-08-21,down,down
2023-08-22,up,up
2023-08-23,down,up
2023-08-24,up,up
2023-08-25,up,up
2023-08-28,up,down
2023-08-29,up,down
2023-08-30,up,down
2023-08-31,down,down
2023-09-01,down,up
2023-09-05,up,up
2023-09-06,up,up
2023-09-07,up,up
2023-09-08,up,up
2023-09-11,up,down
2023-09-12,up,up
2023-09-13,up,up
2023-09-14,down,up
2023-09-15,down,up
2023-09-18,down,down
2023-09-19,up,up
2023-09-20,down,down
2023-09-21,up,up
2023-09-22,up,up
2023-09-25,down,down
2023-09-26,down,down
2023-09-27,up,down
2023-09-28,down,down
2023-09-29,up,down
2023-10-02,down,down
2023-10-03,up,down
2023-10-04,down,down
2023-10-05,down,down
2023-10-06,down,up
2023-10-09,up,up
2023-10-10,up,up
2023-10-11,up,up
2023-10-12,up,up
2023-10-13,up,up
2023-10-16,up,down
2023-10-17,up,down
2023-10-18,down,up
2023-10-19,down,up
2023-10-20,up,up
2023-10-23,up,up
2023-10-24,down,up
2023-10-25,down,up
2023-10-26,down,up
2023-10-27,up,up
2023-10-30,up,up
2023-10-31,up,down
2023-11-01,up,down
2023-11-02,down,up
2023-11-03,up,up
2023-11-06,up,down
2023-11-07,down,up
2023-11-08,down,up
2023-11-09,up,up
2023-11-10,up,up
2023-11-13,down,down
2023-11-14,up,down
2023-11-15,down,down
2023-11-16,down,down
2023-11-20,up,up
2023-11-21,down,up
2023-11-22,up,up
2023-11-24,up,up
2023-11-27,up,up
2023-11-28,down,down
2023-11-29,down,down
2023-11-30,down,up
2023-12-01,down,down
2023-12-04,up,down
2023-12-05,down,down
2023-12-06,down,down
2023-12-07,down,up
2023-12-08,up,up
2023-12-11,up,up
2023-12-12,up,up
2023-12-13,down,up
2023-12-14,up,up
2023-12-15,up,up
2023-12-18,up,up
2023-12-19,down,up
2023-12-20,up,up
2023-12-21,up,up
2023-12-22,down,up
2023-12-26,up,up
2023-12-27,down,up
2023-12-28,up,up
2023-12-29,up,up
2024-01-02,down,up
2024-01-03,down,up
2024-01-04,down,up
2024-01-05,up,up
2024-01-08,up,up
2024-01-09,up,up
2024-01-10,down,up
2024-01-11,up,up
2024-01-12,up,up
2024-01-16,down,up
2024-01-17,up,up
2024-01-18,down,up
2024-01-22,up,up
2024-01-23,down,up
2024-01-24,up,up
2024-01-25,up,up
2024-01-26,up,up
2024-01-29,up,up
2024-01-30,down,up
2024-01-31,up,up
2024-02-01,up,up
2024-02-02,down,down
2024-02-05,up,down
2024-02-06,down,down
2024-02-07,up,down
2024-02-08,down,up
2024-02-09,up,up
2024-02-12,down,down
2024-02-13,down,down
2024-02-14,up,up
2024-02-15,up,up
2024-02-16,up,up
2024-02-20,down,down
2024-02-21,up,down
2024-02-22,up,down
2024-02-23,up,down
2024-02-27,up,up
2024-02-28,down,up
2024-02-29,up,up
2024-03-01,up,up
2024-03-04,up,up
2024-03-05,up,up
2024-03-06,down,up
2024-03-07,down,up
2024-03-08,up,up
2024-03-11,up,up
2024-03-12,down,up
2024-03-13,down,up
2024-03-14,down,up
2024-03-15,up,up
2024-03-18,up,up
2024-03-19,up,up
2024-03-20,up,up
2024-03-21,down,up
2024-03-22,down,up
2024-03-25,down,up
2024-03-26,up,up
2024-03-27,down,up
2024-03-28,down,up
2024-04-01,down,up
2024-04-02,up,up
2024-04-03,up,up
2024-04-04,up,up
2024-04-05,down,up
2024-04-08,up,up
2024-04-09,up,up
2024-04-10,down,up
2024-04-11,up,up
2024-04-12,down,up
2024-04-15,down,up
2024-04-16,down,up
2024-04-17,down,up
2024-04-18,up,up
2024-04-19,up,up
2024-04-22,down,up
2024-04-23,up,up
2024-04-24,up,up
2024-04-25,down,up
2024-04-26,up,up
2024-04-29,down,up
2024-04-30,down,up
2024-05-01,up,up
2024-05-02,up,up
2024-05-03,up,up
2024-05-06,up,up
2024-05-07,down,up
2024-05-08,up,up
2024-05-09,up,up
2024-05-10,down,up
2024-05-13,down,up
2024-05-15,up,up
2024-05-16,up,up
2024-05-17,down,up
2024-05-20,up,up
2024-05-21,up,up
2024-05-22,down,up
2024-05-23,up,up
2024-05-24,down,up
2024-05-28,down,up
2024-05-29,down,up
2024-05-30,up,up
2024-05-31,up,up
2024-06-03,up,up
2024-06-04,up,up
2024-06-05,up,up
2024-06-06,down,up
2024-06-07,up,up
2024-06-10,down,up
2024-06-11,down,up
2024-06-12,up,up
2024-06-13,up,up
2024-06-14,up,up
2024-06-17,up,up
2024-06-18,up,up
2024-06-20,down,up
2024-06-21,up,up
2024-06-24,down,up
2024-06-25,up,up
2024-06-26,down,up
2024-06-27,down,up
2024-06-28,down,up
2024-07-01,up,up
2024-07-02,up,up
2024-07-03,up,up
2024-07-05,down,up
2024-07-08,up,up
2024-07-09,up,up
2024-07-10,down,up
2024-07-11,down,up
2024-07-12,up,up
2024-07-15,up,up
2024-07-16,up,up
