time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year,movement
2023-07-28,195.25,196.61,195.04,195.78,15302,1,0,184.875,158.42860000000002,185.141078008638,166.71650539246454,193.5048038615306,191.3661720961053,192.129,196.47220112359295,187.785798876407,190.93102440126208,193.2375,195.5439755987379,2.6921928831528987,2.9087961130291164,65.89,66.95352839931145,62.45936125454191,193.14,1.3668841255048303,-0.5407075544569762,4,7,up
2023-07-31,195.65,196.48,195.25,196.03,13933,1,0,185.353,158.70415,185.5680945573189,167.0081819557236,194.0098430892245,191.79015645100483,192.4675,196.91748820222924,188.0175117977708,191.36518738700812,193.6683333333333,195.9714792796585,2.732363661025176,2.8735096226283288,66.36,71.02472665670007,66.46511733842569,195.78,0.1276943508019101,1.3668841255048303,0,7,down
2023-08-01,196.36,196.72,195.27,195.74,14088,1,0,185.8106,158.98905,185.96699280997305,167.2940706924826,194.3558744713796,192.14923313727712,192.5375,197.14438560743363,187.93061439256635,192.1955578549224,194.1125,196.0294421450776,2.7095645421385086,2.840720606530365,65.23,75.97265690583521,71.3169706539489,196.03,-0.1479365403254551,0.1276943508019101,1,8,down
2023-08-02,194.17,194.26,191.84,192.68,17926,1,0,186.1664,159.25965,186.2302479938957,167.54666700400017,194.0206995771037,192.19748467025192,192.606,197.1784540456936,188.03354595430648,191.9894546698725,193.99666666666667,196.00387866346088,2.4167211921032106,2.7559207236449343,54.67,61.45932552503399,69.48556969585643,195.74,-1.5632982527843065,-0.1479365403254551,2,8,down
2023-08-03,191.26,192.36,190.84,191.43,17527,1,0,186.491,159.50055,186.43415983727232,167.78431210843797,193.50255966168297,192.12771333659265,192.5955,197.17773297094104,188.0132670290589,191.5029955247701,193.77166666666668,196.0403378085632,2.060029437037315,2.6167424663234105,51.03,38.25511138943982,58.56236460676968,192.68,-0.6487440315549042,-1.5632982527843065,3,8,down
2023-08-04,185.0,187.36,182.07,182.25,17969,1,0,186.6518,159.71814999999998,186.27007513777144,167.92824930138883,191.2520477293464,191.2297393969024,192.1655,198.5728222956224,185.75817770437763,187.4925031429538,192.7125,197.9324968570462,1.024786273529429,2.2983512277646145,33.44,14.88948486396199,38.2013072594786,191.43,-4.7954866008462655,-0.6487440315549042,4,8,down
2023-08-07,180.57,181.19,177.36,178.99,17639,1,0,186.7958,159.90025,185.98458199511376,168.03831647251928,188.7996381834771,190.11703581536585,191.6855,200.1880936631113,183.18290633688872,183.8240289357858,191.5283333333333,199.23263773088087,-0.0580371311964427,1.8270735559724032,29.55,5.646138282485879,19.596911511962563,182.25,-1.7887517146776388,-4.7954866008462655,0,8,up
2023-08-08,178.88,180.24,177.58,179.97,16236,1,0,186.9568,160.08345,185.74871603452107,168.1570396916982,187.0337105467817,189.1945780139689,191.2875,201.10026286272011,181.47473713727985,181.46692675660205,190.5291666666667,199.59140657673132,-0.8275650165948321,1.2961458414589562,32.11,7.364954461527371,9.300192535991746,178.99,0.5475166210402671,-1.7887517146776388,1,8,down
2023-08-09,180.22,180.29,177.01,178.25,17327,1,0,187.0588,160.25685,185.45464873904967,168.25746715745245,185.27696843742532,188.19961637633537,190.7095,202.0458423995564,179.3731576004436,179.02766691000585,189.35833333333332,199.68899975666085,-1.5582485163616866,0.7252669698948278,30.04,9.041439823136582,7.350844189049944,179.97,-0.955714841362454,0.5475166210402671,2,8,down
2023-08-10,179.59,180.74,177.6,177.88,21932,1,0,187.1084,160.42825,185.1576036904595,168.3532137529007,183.79757474994028,187.26146943303215,190.0605,202.69942950371907,177.4215704962809,176.9073221827363,188.0275,199.1476778172637,-2.14247919547978,0.1517177368199062,29.6,7.872590957729417,8.09299508079779,178.25,-0.2075736325385713,-0.955714841362454,3,8,up
